"Datum","Datum Jahr","Datum Monat","Monat","Datum Tag","Datum Monat Tag","Hotelkategorie","Anzahl Ankünfte","Anzahl Logiernächte","Anzahl verfügbare Zimmer","Anzahl belegte Zimmer","Zimmerauslastung"
2024-12-15,2024,"Dezember",12,15,"12-15","3-Stern",568,1179,1519,679,44.7004608294931
2024-12-15,2024,"Dezember",12,15,"12-15","4- und 5-Stern",1165,2394,2033,1239,60.9444171175603
2024-12-15,2024,"Dezember",12,15,"12-15","Keine Kategorie",333,592,622,342,54.983922829582
2024-12-15,2024,"Dezember",12,15,"12-15","Total",2280,4708,4731,2464,52.0820122595646
2024-12-16,2024,"Dezember",12,16,"12-16","1- und 2-Stern",265,438,557,222,39.8563734290844
2024-12-16,2024,"Dezember",12,16,"12-16","3-Stern",736,1141,1519,757,49.835418038183
2024-12-16,2024,"Dezember",12,16,"12-16","4- und 5-Stern",1343,2202,1985,1326,66.8010075566751
2024-12-16,2024,"Dezember",12,16,"12-16","Keine Kategorie",398,570,580,339,58.448275862069
2024-12-16,2024,"Dezember",12,16,"12-16","Total",2742,4351,4641,2644,56.9704804998923
2024-12-17,2024,"Dezember",12,17,"12-17","1- und 2-Stern",226,419,557,195,35.0089766606822
2024-12-17,2024,"Dezember",12,17,"12-17","3-Stern",620,1110,1519,759,49.9670836076366
2024-12-17,2024,"Dezember",12,17,"12-17","4- und 5-Stern",1058,2193,1985,1379,69.4710327455919
2024-12-17,2024,"Dezember",12,17,"12-17","Keine Kategorie",298,591,580,338,58.2758620689655
2024-12-17,2024,"Dezember",12,17,"12-17","Total",2202,4313,4641,2671,57.5522516698987
2024-12-18,2024,"Dezember",12,18,"12-18","1- und 2-Stern",265,428,557,223,40.0359066427289
2024-12-18,2024,"Dezember",12,18,"12-18","3-Stern",552,992,1519,679,44.7004608294931
2024-12-18,2024,"Dezember",12,18,"12-18","4- und 5-Stern",1157,2120,1985,1264,63.6775818639798
2024-12-18,2024,"Dezember",12,18,"12-18","Keine Kategorie",322,528,580,303,52.2413793103448
2024-12-18,2024,"Dezember",12,18,"12-18","Total",2296,4068,4641,2469,53.1997414350356
2024-12-19,2024,"Dezember",12,19,"12-19","1- und 2-Stern",329,478,557,242,43.4470377019749
2024-12-19,2024,"Dezember",12,19,"12-19","3-Stern",611,979,1519,635,41.8038183015142
2024-12-19,2024,"Dezember",12,19,"12-19","4- und 5-Stern",1176,1966,1985,1097,55.264483627204
2024-12-19,2024,"Dezember",12,19,"12-19","Keine Kategorie",363,594,580,330,56.8965517241379
2024-12-19,2024,"Dezember",12,19,"12-19","Total",2479,4017,4641,2304,49.6444731738849
2024-12-20,2024,"Dezember",12,20,"12-20","1- und 2-Stern",375,559,557,267,47.935368043088
2024-12-20,2024,"Dezember",12,20,"12-20","3-Stern",1130,1504,1386,811,58.5137085137085
